TimeStamp,ch4,ch6,ch7
6330.7914,-66954.95,-69557.29,-75165.85
6330.7954,-64045.1,-67295.85,-72553.4
6330.7994,-56993.87,-61481.1,-66560.99
6330.8034,-54852.59,-59558.97,-64796.22
6330.8074,-60114.06,-63807.92,-69333.42
6330.8114,-66913.14,-69517.1,-75104.44
6330.8154,-64061.98,-67306.72,-72549.3
6330.8194,-57009.51,-61497.46,-66550.64
6330.8234,-54850.3,-59562.17,-64762.55
6330.8274,-60066.95,-63769.59,-69259.22
6330.8314,-66891.25,-69507.42,-75056.85
6330.8354,-64102.8,-67350.25,-72550.07
6330.8394,-57061.06,-61547.81,-66560.37
6330.8434,-54856.59,-59573.66,-64747.91
6330.8474,-60025.41,-63741.6,-69212.64
6330.8514,-66859.11,-69483.81,-75025.28
6330.8554,-64154.35,-67390.5,-72596.75
6330.8594,-57115.13,-61598.98,-66610.3
6330.8634,-54892.17,-59611.28,-64770.47
6330.8674,-59992.51,-63724.33,-69166.72
6330.8714,-66841.56,-69474.56,-74989.14
6330.8754,-64209.71,-67435.94,-72620.69
6330.8794,-57193.14,-61654.77,-66644.1
6330.8834,-54908.33,-59619.1,-64759.69
6330.8874,-59955.27,-63696.2,-69124.09
6330.8914,-66795.74,-69441.52,-74944.79
6330.8954,-64203.32,-67436.04,-72614.96
6330.8994,-57170.11,-61628.49,-66639.19
6330.9034,-54862.12,-59574.85,-64747.1
6330.9074,-59850.8,-63597.69,-69075.12
6330.9114,-66696.7,-69349.68,-74901.59
6330.9154,-64136.56,-67383.58,-72594.75
6330.9194,-57117.09,-61610.42,-66624.27
6330.9234,-54777.29,-59528.79,-64691.6
6330.9274,-59735.4,-63519.96,-68990.1
6330.9314,-66588.46,-69272.86,-74821.48
6330.9354,-64109.71,-67364.8,-72581.25
6330.9394,-57102.4,-61588.49,-66615.3
6330.9434,-54734.57,-59488.49,-64660.6
6330.9474,-59626.44,-63431.99,-68892.2
6330.9514,-66508.63,-69203.72,-74751.91
6330.9554,-64098.18,-67346.72,-72580.39
6330.9594,-57102.26,-61591.58,-66627.8
6330.9634,-54698.33,-59463.37,-64644.15
6330.9673,-59546.57,-63371.0,-68844.47
6330.9713,-66434.63,-69148.69,-74706.85
6330.9753,-64096.12,-67354.54,-72583.64
6330.9793,-57104.07,-61591.97,-66621.74
6330.9833,-54673.39,-59436.42,-64607.01
6330.9873,-59477.72,-63297.28,-68771.08
6330.9913,-66384.66,-69094.05,-74657.5
6330.9953,-64094.74,-67340.48,-72577.63
6330.9993,-57087.05,-61572.18,-66611.25
6331.0033,-54615.55,-59387.64,-64566.91
6331.0073,-59371.48,-63208.06,-68687.97
6331.0113,-66269.17,-68993.05,-74564.32
6331.0153,-64019.5,-67274.82,-72515.07
6331.0193,-57024.06,-61503.13,-66554.51
6331.0233,-54539.02,-59303.39,-64497.96
6331.0273,-59237.49,-63084.18,-68565.38
6331.0313,-66162.64,-68892.44,-74468.19
6331.0353,-63990.79,-67237.96,-72502.14
6331.0393,-56976.33,-61460.93,-66528.66
6331.0433,-54411.85,-59205.73,-64393.43
6331.0473,-59092.34,-62970.41,-68450.7
6331.0513,-66059.22,-68810.52,-74393.81
6331.0553,-63940.2,-67199.19,-72470.05
6331.0593,-56929.45,-61424.31,-66497.81
6331.0633,-54372.51,-59164.15,-64373.69
6331.0673,-59014.9,-62893.11,-68398.72
6331.0713,-66024.55,-68765.36,-74366.86
6331.0753,-63972.48,-67207.73,-72498.71
6331.0793,-56953.29,-61435.9,-66523.08
6331.0833,-54357.82,-59138.69,-64365.16
6331.0873,-58997.3,-62860.93,-68377.36
6331.0913,-66044.24,-68762.88,-74376.97
6331.0952,-64039.29,-67246.49,-72549.45
6331.0992,-56996.4,-61447.96,-66546.45
6331.1032,-54365.55,-59128.2,-64367.87
6331.1072,-58979.71,-62827.98,-68361.39
6331.1112,-66048.68,-68755.49,-74387.99
6331.1152,-64078.15,-67274.77,-72586.74
6331.1192,-57014.95,-61465.6,-66568.1
6331.1232,-54345.04,-59113.51,-64354.0
