TimeStamp,ch4,ch6,ch7
6416.6687,-55242.35,-52581.6,-58820.35
6416.6727,-52653.08,-50300.17,-56294.73
6416.6767,-49161.49,-47463.9,-53224.38
6416.6807,-49059.73,-47516.64,-53312.4
6416.6847,-52305.42,-50255.88,-56306.32
6416.6887,-55220.61,-52565.34,-58797.03
6416.6927,-52659.61,-50306.14,-56296.78
6416.6967,-49183.66,-47478.01,-53237.4
6416.7007,-49091.3,-47535.33,-53331.81
6416.7047,-52298.31,-50242.76,-56291.78
6416.7087,-55196.1,-52549.89,-58773.48
6416.7127,-52673.2,-50322.01,-56312.57
6416.7167,-49232.06,-47504.14,-53270.78
6416.7207,-49132.4,-47546.82,-53351.07
6416.7247,-52291.49,-50232.85,-56272.56
6416.7287,-55172.5,-52533.44,-58744.01
6416.7327,-52704.25,-50343.85,-56345.99
6416.7367,-49258.43,-47520.07,-53315.36
6416.7407,-49124.53,-47547.01,-53364.14
6416.7447,-52273.23,-50232.94,-56271.08
6416.7487,-55174.07,-52551.9,-58757.41
6416.7527,-52713.88,-50363.4,-56357.77
6416.7567,-49263.01,-47535.76,-53315.22
6416.7607,-49128.35,-47556.02,-53361.52
6416.7647,-52271.23,-50236.28,-56263.93
6416.7687,-55184.04,-52566.96,-58756.74
6416.7727,-52728.66,-50384.29,-56359.3
6416.7767,-49254.52,-47541.67,-53298.72
6416.7807,-49118.81,-47553.07,-53345.59
6416.7847,-52263.89,-50231.22,-56249.15
6416.7887,-55186.61,-52569.82,-58752.54
6416.7927,-52726.47,-50384.38,-56358.68
6416.7966,-49250.8,-47544.1,-53301.63
6416.8006,-49087.58,-47546.82,-53320.99
6416.8046,-52238.57,-50226.12,-56227.55
6416.8086,-55202.16,-52585.08,-58770.09
6416.8126,-52773.43,-50416.28,-56393.01
6416.8166,-49079.52,-47440.63,-53133.49
6416.8206,-48776.97,-47378.74,-53062.64
6416.8246,-52261.55,-50264.46,-56286.39
6416.8286,-55695.73,-52876.76,-59228.71
6416.8326,-52969.32,-50496.87,-56561.67
6416.8366,-48929.08,-47318.04,-53005.99
6416.8406,-48669.34,-47298.06,-52977.14
6416.8446,-52265.22,-50266.7,-56298.41
6416.8486,-55754.24,-52914.67,-59271.06
6416.8526,-52982.77,-50512.13,-56552.94
6416.8566,-48877.96,-47297.1,-52946.14
6416.8606,-48632.96,-47291.14,-52935.18
6416.8646,-52289.21,-50293.17,-56309.28
6416.8686,-55817.18,-52960.45,-59321.27
6416.8726,-52987.49,-50514.56,-56553.85
6416.8766,-48844.77,-47276.22,-52920.54
6416.8806,-48594.58,-47266.01,-52912.67
6416.8846,-52283.05,-50289.97,-56320.1
6416.8886,-55859.72,-52987.92,-59358.32
6416.8926,-53022.2,-50536.69,-56580.03
6416.8966,-48831.33,-47266.16,-52910.05
6416.9006,-48591.1,-47268.16,-52908.86
6416.9046,-52317.48,-50310.0,-56346.04
6416.9086,-55937.87,-53038.17,-59435.23
6416.9126,-53073.22,-50578.46,-56631.1
6416.9166,-48834.47,-47292.33,-52917.06
6416.9206,-48574.31,-47268.83,-52905.47
6416.9246,-52314.19,-50315.86,-56355.15
6416.9286,-55961.42,-53051.38,-59463.08
6416.9326,-53094.58,-50582.22,-56649.98
6416.9366,-48787.93,-47241.69,-52874.38
6416.9406,-48515.42,-47220.09,-52856.21
6416.9446,-52258.59,-50276.62,-56318.05
6416.9486,-55960.71,-53050.95,-59474.09
6416.9526,-53159.43,-50616.18,-56723.46
6416.9566,-48835.57,-47253.76,-52919.01
6416.9606,-48490.01,-47180.75,-52826.74
6416.9646,-52162.37,-50205.62,-56223.78
6416.9686,-55865.96,-52995.83,-59382.35
6416.9726,-53210.88,-50656.9,-56764.32
6416.9766,-48969.13,-47342.83,-53030.21
6416.9806,-48556.76,-47231.63,-52874.38
6416.9846,-52070.43,-50154.5,-56131.56
6416.9885,-55707.8,-52919.87,-59251.08
6416.9925,-53229.34,-50695.23,-56792.5
6416.9965,-49122.82,-47447.69,-53165.49
6417.0005,-48669.73,-47290.52,-52968.22
6417.0045,-52044.92,-50123.75,-56102.43
6417.0085,-55544.34,-52808.77,-59107.26
6417.0125,-53158.0,-50652.08,-56736.19
6417.0165,-49209.12,-47493.65,-53237.02
6417.0205,-48778.44,-47340.45,-53043.51
6417.0245,-52052.69,-50111.11,-56085.31
6417.0285,-55442.2,-52746.54,-59004.17
6417.0325,-53069.98,-50608.88,-56658.61
6417.0365,-49227.53,-47516.92,-53261.95
6417.0405,-48840.91,-47382.6,-53097.78
6417.0445,-52084.21,-50124.6,-56105.38
6417.0485,-55426.46,-52729.42,-58978.23
6417.0525,-53076.37,-50617.32,-56652.08
6417.0565,-49273.07,-47551.3,-53285.84
6417.0605,-48907.14,-47422.37,-53144.8
6417.0645,-52111.68,-50135.81,-56114.39
6417.0685,-55413.4,-52720.51,-58950.0
6417.0725,-53061.87,-50613.03,-56634.34
6417.0765,-49295.91,-47566.66,-53325.52
6417.0805,-48933.61,-47435.43,-53196.44
6417.0845,-52115.78,-50138.81,-56142.77
6417.0885,-55385.83,-52713.5,-58948.14
6417.0925,-53045.47,-50618.85,-56635.58
6417.0965,-49298.63,-47581.25,-53320.37
6417.1005,-48962.31,-47458.37,-53198.77
6417.1045,-52127.94,-50134.66,-56138.0
6417.1085,-55360.71,-52678.35,-58918.34
6417.1125,-53013.38,-50574.88,-56605.16
6417.1164,-49285.94,-47557.31,-53310.69
6417.1204,-48961.03,-47438.58,-53197.87
6417.1244,-52116.92,-50106.01,-56119.02
6417.1284,-55353.65,-52657.42,-58900.94
6417.1324,-53022.92,-50578.65,-56602.53
6417.1364,-49277.12,-47545.2,-53291.33
6417.1404,-48941.62,-47424.32,-53179.41
6417.1444,-52105.15,-50105.34,-56110.29
6417.1484,-55350.07,-52671.72,-58897.12
6417.1524,-53038.7,-50601.49,-56625.71
6417.1564,-49305.78,-47575.62,-53331.29
6417.1604,-48956.11,-47442.16,-53193.15
6417.1644,-52103.1,-50104.81,-56105.57
6417.1684,-55343.3,-52657.9,-58897.84
6417.1724,-53032.45,-50592.19,-56618.51
6417.1764,-49295.34,-47556.41,-53319.6
6417.1804,-48953.3,-47434.91,-53185.56
6417.1844,-52086.07,-50093.32,-56088.36
6417.1884,-55329.09,-52654.46,-58883.01
6417.1924,-53029.73,-50594.15,-56618.55
