TimeStamp,ch4,ch6,ch7
6231.7192,-43907.12,-60342.03,-61446.01
6231.7232,-43904.69,-60527.19,-61722.05
6231.7272,-45132.74,-61663.63,-62877.14
6231.7312,-46551.9,-62759.26,-63926.28
6231.7352,-45625.17,-61782.42,-62858.54
6231.7392,-43882.23,-60330.45,-61428.94
6231.7432,-43901.35,-60550.17,-61735.49
6231.7472,-45159.54,-61701.64,-62909.52
6231.7512,-46598.39,-62798.27,-63963.99
6231.7552,-45669.18,-61812.5,-62893.83
6231.7592,-43890.05,-60346.9,-61446.96
6231.7632,-43881.28,-60544.12,-61727.63
6231.7672,-45151.29,-61690.15,-62914.9
6231.7712,-46589.24,-62784.06,-63971.72
6231.7752,-45699.32,-61834.68,-62923.63
6231.7792,-43905.07,-60339.12,-61443.24
6231.7832,-43870.17,-60509.59,-61710.6
6231.7872,-45120.2,-61644.9,-62882.24
6231.7912,-46570.35,-62758.36,-63955.51
6231.7952,-45703.51,-61826.19,-62929.02
6231.7992,-43919.9,-60341.41,-61456.31
6231.8032,-43873.41,-60489.33,-61698.97
6231.8072,-45099.98,-61611.85,-62848.58
6231.8112,-46527.06,-62737.52,-63911.87
6231.8152,-45683.53,-61846.17,-62919.91
6231.8192,-43956.67,-60370.5,-61479.19
6231.8232,-43913.89,-60491.86,-61706.55
6231.8272,-45087.63,-61566.74,-62815.63
6231.8312,-46492.15,-62705.14,-63887.22
6231.8352,-45699.46,-61868.29,-62945.23
6231.8392,-43979.94,-60389.76,-61502.51
6231.8432,-43915.47,-60487.09,-61705.55
6231.8471,-45083.86,-61568.55,-62803.47
6231.8511,-46482.43,-62704.76,-63870.06
6231.8551,-45710.19,-61877.59,-62950.9
6231.8591,-43985.32,-60384.42,-61494.12
6231.8631,-43899.78,-60462.39,-61681.47
6231.8671,-45042.38,-61516.53,-62765.61
6231.8711,-46452.96,-62672.1,-63845.74
6231.8751,-45704.61,-61876.3,-62946.18
6231.8791,-43979.7,-60387.0,-61491.21
6231.8831,-43879.7,-60450.75,-61666.31
6231.8871,-45023.92,-61507.61,-62759.22
6231.8911,-46442.7,-62672.29,-63856.75
6231.8951,-45721.68,-61896.43,-62980.13
6231.8991,-44012.6,-60395.77,-61518.01
6231.9031,-43919.9,-60455.85,-61681.18
6231.9071,-45049.72,-61506.95,-62751.63
6231.911,-46471.46,-62685.45,-63860.81
6231.915,-45776.23,-61929.57,-63008.41
6231.919,-44041.11,-60404.88,-61525.16
6231.923,-43919.19,-60440.69,-61658.44
6231.927,-45053.92,-61499.08,-62739.71
6231.931,-46494.73,-62698.85,-63875.3
6231.935,-45820.15,-61969.24,-63045.84
6231.939,-44076.3,-60432.73,-61543.57
6231.943,-43931.35,-60441.31,-61663.49
6231.947,-45045.43,-61484.25,-62736.85
6231.951,-46486.05,-62706.72,-63879.35
6231.955,-45835.69,-61999.52,-63073.69
6231.959,-44075.45,-60444.08,-61553.68
6231.963,-43927.29,-60450.66,-61662.63
6231.967,-45035.51,-61493.26,-62731.42
6231.971,-46479.42,-62709.39,-63875.78
6231.975,-45851.43,-62019.69,-63084.51
6231.979,-44082.46,-60454.38,-61553.1
6231.983,-43901.5,-60431.39,-61640.6
6231.987,-45002.08,-61463.41,-62706.1
6231.991,-46466.88,-62708.48,-63875.64
6231.995,-45861.15,-62032.8,-63102.83
6231.999,-44089.08,-60462.1,-61558.78
6232.003,-43901.93,-60422.24,-61633.45
6232.007,-44995.89,-61451.11,-62694.99
6232.011,-46467.98,-62695.13,-63871.15
6232.015,-45882.95,-62046.82,-63115.22
6232.019,-44119.41,-60478.89,-61568.94
6232.023,-43930.2,-60436.07,-61640.65
6232.027,-45009.33,-61452.25,-62696.56
6232.031,-46490.48,-62715.73,-63887.94
6232.035,-45921.81,-62093.27,-63154.51
6232.0389,-44149.12,-60515.79,-61603.51
6232.0429,-43926.29,-60440.98,-61640.79
6232.0469,-44974.9,-61437.04,-62670.33
6232.0509,-46450.91,-62704.05,-63867.2
6232.0549,-45917.61,-62109.19,-63166.44
6232.0589,-44138.53,-60513.6,-61604.94
6232.0629,-43901.78,-60430.34,-61631.54
6232.0669,-44951.4,-61428.03,-62660.99
6232.0709,-46428.26,-62705.0,-63864.29
6232.0749,-45913.89,-62124.97,-63177.83
6232.0789,-44133.62,-60511.45,-61595.07
6232.0829,-43867.07,-60389.48,-61582.14
6232.0869,-44913.44,-61381.44,-62613.83
6232.0909,-46410.38,-62676.25,-63841.64
6232.0949,-45941.69,-62132.84,-63188.61
6232.0989,-44164.42,-60521.66,-61603.41
6232.1029,-43913.13,-60417.71,-61606.51
6232.1069,-44932.13,-61390.03,-62613.92
6232.1109,-46346.62,-62605.44,-63784.23
6232.1149,-45894.34,-62086.21,-63168.82
6232.1189,-44194.66,-60557.94,-61641.84
6232.1229,-43942.46,-60449.32,-61624.96
6232.1269,-44933.28,-61387.16,-62604.58
6232.1309,-46367.56,-62623.22,-63798.05
6232.1349,-45939.55,-62124.31,-63204.3
6232.1389,-44209.1,-60560.33,-61643.56
6232.1429,-43923.91,-60417.66,-61596.11
6232.1469,-44889.79,-61337.19,-62564.9
6232.1509,-46353.63,-62605.44,-63790.28
6232.1549,-45950.51,-62134.85,-63220.84
6232.1589,-44209.82,-60565.24,-61650.33
6232.1629,-43894.01,-60395.44,-61571.32
6232.1668,-44860.37,-61320.74,-62533.05
6232.1708,-46315.58,-62595.47,-63762.72
6232.1748,-45935.59,-62140.19,-63218.79
6232.1788,-44226.13,-60574.82,-61668.12
6232.1828,-43923.14,-60415.23,-61605.99
6232.1868,-44869.38,-61326.7,-62559.33
6232.1908,-46327.93,-62617.4,-63788.61
6232.1948,-45943.22,-62155.83,-63234.81
6232.1988,-44180.45,-60519.08,-61628.44
6232.2028,-43838.65,-60295.3,-61524.78
6232.2068,-44817.74,-61247.79,-62515.65
6232.2108,-46345.24,-62638.86,-63824.85
6232.2148,-46015.13,-62249.43,-63327.13
6232.2188,-44208.77,-60560.57,-61664.59
6232.2228,-43836.03,-60303.12,-61522.35
6232.2268,-44797.04,-61241.78,-62497.81
6232.2308,-46329.6,-62631.47,-63819.03
