TimeStamp,ch4,ch6,ch7
6497.3883,-55229.67,-50378.71,-53432.95
6497.3923,-55206.83,-50467.5,-53526.46
6497.3963,-57409.82,-52413.57,-55623.73
6497.4003,-59375.87,-54072.58,-57388.03
6497.4043,-57628.45,-52470.17,-55646.66
6497.4083,-55264.1,-50438.98,-53473.91
6497.4123,-55312.97,-50550.99,-53624.02
6497.4163,-57446.2,-52439.74,-55656.15
6497.4203,-59366.66,-54077.58,-57385.4
6497.4243,-57646.33,-52495.25,-55668.31
6497.4283,-55293.14,-50466.45,-53507.67
6497.4323,-55253.42,-50529.53,-53580.1
6497.4363,-57306.77,-52391.25,-55551.58
6497.4403,-59435.23,-54132.52,-57455.93
6497.4443,-57820.14,-52578.22,-55809.93
6497.4483,-55292.47,-50435.74,-53489.36
6497.4523,-55150.56,-50467.59,-53489.74
6497.4563,-57284.93,-52390.44,-55551.58
6497.4603,-59447.72,-54160.32,-57488.02
6497.4643,-57836.01,-52609.31,-55842.02
6497.4683,-55304.34,-50465.64,-53511.82
6497.4723,-55160.86,-50482.23,-53502.61
6497.4763,-57299.14,-52400.45,-55563.6
6497.4803,-59463.6,-54180.25,-57502.23
6497.4843,-57856.19,-52639.63,-55861.67
6497.4883,-55309.87,-50474.6,-53523.17
6497.4923,-55160.67,-50490.43,-53514.77
6497.4963,-57297.05,-52402.55,-55567.37
6497.5003,-59465.7,-54179.87,-57510.48
6497.5043,-57859.43,-52629.81,-55871.73
6497.5083,-55313.78,-50471.74,-53527.7
6497.5123,-55154.38,-50476.51,-53501.8
6497.5162,-57289.65,-52392.63,-55550.77
6497.5202,-59474.24,-54174.76,-57503.18
6497.5242,-57862.96,-52621.08,-55855.95
6497.5282,-55210.69,-50404.36,-53422.17
6497.5322,-54805.05,-50306.99,-53195.24
6497.5362,-57334.95,-52487.24,-55615.72
6497.5402,-60209.23,-54612.26,-58149.44
6497.5442,-58200.22,-52727.47,-56094.94
6497.5482,-54801.8,-50088.84,-53011.28
6497.5522,-54529.1,-50127.56,-52945.95
6497.5562,-57299.86,-52462.77,-55595.21
6497.5602,-60227.5,-54616.41,-58170.47
6497.5642,-58189.21,-52724.56,-56072.58
6497.5682,-54776.68,-50078.3,-52977.28
6497.5722,-54527.62,-50134.38,-52936.37
6497.5762,-57319.7,-52484.71,-55606.9
6497.5802,-60254.68,-54648.12,-58190.92
6497.5842,-58176.0,-52725.13,-56065.14
6497.5882,-54743.96,-50069.1,-52956.78
6497.5922,-54500.06,-50126.89,-52924.45
6497.5962,-57325.47,-52491.48,-55618.63
6497.6002,-60270.65,-54655.22,-58205.71
6497.6042,-58174.14,-52732.81,-56061.8
6497.6082,-54732.14,-50074.15,-52944.76
6497.6122,-54505.55,-50144.15,-52925.59
6497.6162,-57332.81,-52506.98,-55621.06
6497.6202,-60296.3,-54672.53,-58228.07
6497.6242,-58189.59,-52735.43,-56078.3
6497.6282,-54736.95,-50073.25,-52950.1
6497.6322,-54509.46,-50143.2,-52923.97
6497.6362,-57338.39,-52510.46,-55620.25
6497.6402,-60308.46,-54682.93,-58227.36
6497.6442,-58218.34,-52758.51,-56087.6
6497.6482,-54739.29,-50077.16,-52937.75
6497.6522,-54494.29,-50134.04,-52902.23
6497.6562,-57297.05,-52484.23,-55576.19
6497.6602,-60284.48,-54674.2,-58200.27
6497.6642,-58219.49,-52764.99,-56089.46
6497.6682,-54760.27,-50093.04,-52957.35
6497.6722,-54508.74,-50147.63,-52915.91
6497.6762,-57324.32,-52510.46,-55599.22
6497.6802,-60317.57,-54709.49,-58227.64
6497.6842,-58252.91,-52805.72,-56112.77
6497.6882,-54765.76,-50102.76,-52951.44
6497.6922,-54502.4,-50142.82,-52892.55
6497.6962,-57302.34,-52483.33,-55558.69
6497.7002,-60318.29,-54691.04,-58214.29
6497.7042,-58283.05,-52797.61,-56129.65
6497.7081,-54799.61,-50104.96,-52971.46
6497.7121,-54514.22,-50132.57,-52895.5
6497.7161,-57287.8,-52468.4,-55544.0
6497.7201,-60290.44,-54674.63,-58190.78
6497.7241,-58317.38,-52822.74,-56158.88
6497.7281,-54837.23,-50121.03,-52999.69
6497.7321,-54502.3,-50119.55,-52882.53
6497.7361,-57220.32,-52426.3,-55485.06
6497.7401,-60232.69,-54644.97,-58150.35
6497.7441,-58334.41,-52837.33,-56188.69
6497.7481,-54866.42,-50141.91,-53028.16
6497.7521,-54499.06,-50122.93,-52877.62
6497.7561,-57184.56,-52415.52,-55443.82
6497.7601,-60190.97,-54633.48,-58101.14
6497.7641,-58362.06,-52867.99,-56218.01
6497.7681,-54907.81,-50173.48,-53072.74
6497.7721,-54509.26,-50120.31,-52889.21
6497.7761,-57153.9,-52379.9,-55431.32
6497.7801,-60158.07,-54607.45,-58089.84
6497.7841,-58354.19,-52860.93,-56209.48
6497.7881,-54903.94,-50165.28,-53067.31
6497.7921,-54477.08,-50091.42,-52862.7
6497.7961,-57113.13,-52355.63,-55392.75
6497.8001,-60127.84,-54594.71,-58056.7
6497.8041,-58357.25,-52867.99,-56212.72
6497.8081,-54904.56,-50158.41,-53066.78
6497.8121,-54474.07,-50088.13,-52859.88
6497.8161,-57102.31,-52350.38,-55384.02
6497.8201,-60125.07,-54597.96,-58053.93
6497.8241,-58369.31,-52884.16,-56214.96
6497.8281,-54929.55,-50185.02,-53078.85
6497.8321,-54488.67,-50098.47,-52854.78
6497.836,-57067.93,-52318.15,-55333.72
6497.84,-60043.91,-54542.88,-57968.86
6497.844,-58401.78,-52903.13,-56235.27
6497.848,-55074.75,-50253.11,-53188.04
6497.852,-54595.67,-50135.0,-52918.96
6497.856,-57012.61,-52263.08,-55258.42
6497.86,-59886.32,-54457.15,-57828.53
6497.864,-58390.34,-52921.25,-56235.13
6497.868,-55191.67,-50334.55,-53299.05
6497.872,-54656.94,-50154.88,-52973.56
6497.876,-57030.3,-52260.5,-55264.1
6497.88,-59895.14,-54452.09,-57814.6
6497.884,-58404.4,-52927.26,-56231.22
6497.888,-55220.09,-50359.11,-53308.02
6497.892,-54704.01,-50202.33,-52999.31
6497.896,-57035.88,-52275.23,-55256.47
6497.9,-59851.8,-54437.26,-57773.5
6497.904,-58377.42,-52924.54,-56210.86
6497.908,-55300.86,-50407.27,-53380.07
6497.912,-54828.51,-50246.58,-53096.16
6497.916,-57056.05,-52245.1,-55249.94
6497.92,-59599.93,-54268.99,-57533.56
6497.924,-58169.94,-52839.14,-56033.67
6497.928,-55385.12,-50501.54,-53464.23
6497.932,-55034.36,-50383.43,-53281.46
6497.936,-57152.47,-52285.73,-55323.89
6497.94,-59550.72,-54220.44,-57477.96
6497.944,-58083.45,-52778.06,-55957.61
6497.948,-55440.48,-50525.72,-53521.5
6497.952,-55257.23,-50477.46,-53467.28
6497.956,-57324.61,-52319.01,-55442.34
6497.96,-59452.87,-54109.44,-57355.08
6497.964,-57882.89,-52641.54,-55764.78
6497.968,-55356.37,-50473.17,-53439.34
6497.972,-55216.13,-50456.67,-53427.51
6497.976,-57305.44,-52313.67,-55422.69
6497.98,-59467.28,-54120.88,-57371.96
6497.984,-57904.68,-52669.39,-55792.39
6497.988,-55310.11,-50477.89,-53407.15
6497.992,-55047.09,-50408.56,-53294.47
6497.996,-57157.48,-52300.75,-55334.57
6498.0,-59538.9,-54221.83,-57475.19
6498.004,-58074.62,-52776.53,-55962.52
6498.008,-55344.3,-50474.94,-53448.06
